date,crime_count,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,year,Fri,Mon,Sat,Sun,Thu,Tue,Wed,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2018-03-09,745,29.433333333333334,16.866666666666667,1017.05,993.1,10.0,5.0,10.366666666666667,18.1,39.5,21.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-02-27,649,25.8,17.233333333333334,1023.6,665.8666666666667,9.366666666666667,7.8,13.7,18.966666666666665,31.266666666666666,20.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-15,763,21.266666666666666,14.566666666666668,1020.45,996.4666666666668,9.866666666666667,8.4,14.7,17.966666666666665,33.56666666666667,4.566666666666666,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-04-20,803,45.0,23.9,1031.95,1008.2333333333332,10.0,3.8333333333333335,11.633333333333333,,60.03333333333333,30.03333333333333,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,760,77.7,72.93333333333334,1009.9,988.5666666666666,8.933333333333332,6.733333333333333,17.7,25.633333333333336,89.0,71.26666666666667,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2019,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-03-03,673,27.6,8.5,1033.4,1009.0,9.966666666666669,9.6,14.633333333333333,21.0,33.7,21.066666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-11-26,590,53.3,46.03333333333333,1023.0,1000.0333333333332,9.0,14.133333333333333,19.3,27.3,61.46666666666667,44.6,0.17,3.9,0.0,1.0,0.0,0.0,0.0,0.0,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-01-20,619,17.433333333333334,9.166666666666666,1027.75,1002.7,7.8,2.6333333333333333,7.333333333333333,,24.03333333333333,7.400000000000001,0.04,1.2,0.0,0.0,1.0,0.0,0.0,0.0,2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015-09-02,801,80.16666666666667,69.10000000000001,1015.65,993.6666666666666,9.7,6.933333333333333,12.033333333333331,18.066666666666663,90.56666666666666,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2017-02-04,638,22.2,6.966666666666666,1028.3,1002.8,10.0,9.033333333333331,19.066666666666663,25.4,33.4,11.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
