index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
901,2017-02-10,5,24.0,18,2,25.3,14.7,1018.9,994.7333333333332,10.0,11.7,23.3,31.03333333333333,40.1,14.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2017-01-30,1,24.0,16,1,23.166666666666668,10.8,1014.35,990.3,10.0,8.566666666666666,16.333333333333332,24.0,31.03333333333333,15.633333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6811,2016-11-04,5,24.0,12,11,53.333333333333336,44.23333333333333,1029.0,1005.4666666666668,9.933333333333334,3.766666666666667,11.266666666666666,14.0,63.63333333333333,41.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,2016-03-25,5,24.0,21,3,35.23333333333333,26.7,1015.75,991.6333333333332,10.0,7.766666666666666,17.366666666666667,25.0,46.16666666666666,30.133333333333336,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7838,2015-12-22,2,24.0,27,12,40.63333333333333,37.7,1010.15,986.5666666666666,5.8,6.3,12.333333333333334,15.9,53.2,36.03333333333333,0.2566666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2595,2017-04-28,5,24.0,22,4,49.0,41.2,1012.1,988.9333333333334,9.633333333333336,5.566666666666666,14.0,18.4,60.7,40.266666666666666,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1693,2017-03-18,6,24.0,21,3,41.63333333333333,32.666666666666664,1019.35,995.6666666666666,9.466666666666669,10.8,16.7,26.933333333333334,48.86666666666667,37.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1385,2017-03-04,6,24.0,16,3,32.93333333333334,23.03333333333333,1034.15,1010.0,9.166666666666666,8.733333333333333,17.366666666666667,21.666666666666668,41.96666666666667,25.633333333333336,0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5968,2015-09-28,1,24.0,22,9,70.43333333333334,63.26666666666667,1015.4,993.0333333333332,10.0,4.166666666666667,7.966666666666666,,78.7,63.20000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,2018-04-05,4,24.0,19,4,31.566666666666663,18.0,1023.3,999.0,9.666666666666666,6.5,11.7,17.1,41.56666666666667,22.766666666666666,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3832,2018-06-23,6,24.0,24,6,67.33333333333333,58.86666666666667,1006.65,984.1,8.466666666666667,4.766666666666667,11.633333333333333,,78.93333333333334,60.56666666666666,0.4399999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6386,2015-10-17,6,24.0,23,10,43.53333333333333,22.666666666666668,1029.1,1005.2666666666668,10.0,8.066666666666666,12.666666666666666,19.03333333333333,55.3,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6183,2019-10-08,2,24.0,24,10,57.46666666666667,44.0,1022.55,332.93333333333334,10.0,2.0666666666666664,7.966666666666666,,70.43333333333334,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,2018-03-31,6,24.0,22,3,44.23333333333333,33.56666666666666,1016.65,993.4333333333334,9.833333333333334,11.4,23.3,34.333333333333336,59.53333333333333,34.2,0.0133333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5749,2018-09-18,2,24.0,22,9,73.26666666666667,63.93333333333334,1013.05,991.0333333333332,9.9,4.8,13.666666666666666,19.7,81.89999999999999,66.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5243,2018-08-26,7,24.0,16,8,81.26666666666667,73.26666666666667,1014.1,992.3,7.066666666666667,5.4,13.666666666666666,18.4,93.56666666666666,69.96666666666667,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5659,2015-09-14,1,24.0,13,9,64.63333333333334,48.66666666666666,1016.5,994.0333333333332,10.0,8.633333333333333,17.033333333333335,25.633333333333336,81.3,48.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,2015-01-30,5,24.0,20,1,28.666666666666668,13.833333333333334,1030.4,1005.7666666666668,9.9,8.6,16.633333333333336,24.6,36.86666666666667,21.666666666666668,0.005,1.2,0.0,0.0,1.0,0.0,0.0,0.0
5062,2015-08-18,2,24.0,17,8,74.03333333333333,67.06666666666666,1010.75,989.1,9.0,6.566666666666666,16.066666666666666,24.03333333333333,88.06666666666666,67.76666666666667,0.57,0.0,0.0,1.0,0.0,0.0,1.0,0.0
174,2015-01-08,4,24.0,11,1,-1.1666666666666667,-8.933333333333334,1034.3,1006.2333333333332,8.299999999999999,12.933333333333332,23.33333333333333,32.4,12.366666666666667,-7.733333333333333,0.0,3.5,0.0,0.0,1.0,0.0,0.0,0.0
6535,2017-10-24,2,24.0,24,10,47.5,44.66666666666666,1003.0,979.8,8.9,10.9,17.033333333333335,25.0,53.1,43.4,0.5266666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6491,2017-10-22,7,24.0,21,10,65.63333333333333,56.93333333333334,1014.35,992.1333333333332,8.833333333333334,12.966666666666669,20.966666666666665,29.0,72.2,52.0,0.0366666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3872,2017-06-25,7,24.0,31,6,64.39999999999999,45.833333333333336,1017.9,995.3,9.966666666666669,10.133333333333333,17.733333333333334,24.7,73.36666666666666,54.36666666666667,0.0066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5366,2019-09-01,7,24.0,31,9,67.0,60.63333333333333,1020.45,997.5666666666666,9.566666666666668,4.066666666666666,10.666666666666666,,73.26666666666667,61.53333333333333,0.615,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6034,2015-10-01,4,24.0,25,10,55.73333333333333,41.833333333333336,1025.1,1001.8666666666668,10.0,14.533333333333331,22.366666666666664,29.33333333333333,61.76666666666667,51.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
